"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110"
"246",309,9,21,5,7,82,19,216,4,224,11,8,24,67,18,76,6,58,3,11,97,10,2,3,9,10,3,48,9,10,11,6,100,788,97,0,76,6,3,8,20,13,20,7,2,1,1,11,6,208,8,70,21,206,12,1,3,5,197,4,16,4,52,203,4,3,11,8,30,31,11,4,10,26,9,3,406,1,13,5,8,2,18,7,9,2,6,4,131,8,3,4,8,15,60,16,23,394,11,6,5,32,6,3,16,5,18,14,4,22
"247",280,25,24,6,4,51,10,191,2,223,20,7,15,92,8,75,8,33,7,21,141,6,3,5,7,28,1,44,7,19,34,5,87,743,81,2,90,7,6,9,32,8,15,6,7,9,4,15,9,187,0,52,39,176,25,8,4,1,227,5,7,9,44,215,1,7,4,11,41,37,11,6,13,28,7,5,405,1,10,5,9,2,50,11,7,8,7,4,120,5,6,10,4,21,48,7,3,376,18,4,5,41,8,4,14,4,17,28,4,32
"248",278,11,19,3,1,44,6,178,4,244,17,4,22,101,7,89,1,59,13,26,124,10,2,0,5,9,1,27,18,3,17,8,91,768,122,2,82,4,3,2,34,21,16,6,4,7,4,11,9,202,5,52,38,186,17,3,0,2,190,2,9,1,65,204,8,4,10,11,38,26,17,5,9,26,7,3,451,10,18,11,6,1,32,8,0,13,5,8,148,13,1,6,9,15,26,12,4,338,24,4,8,41,10,3,12,7,32,21,7,19
"249",342,47,17,4,3,63,9,232,2,250,13,8,17,74,3,112,2,61,1,13,102,11,2,6,1,7,5,25,2,8,20,13,80,769,86,12,72,9,1,9,26,7,4,3,8,5,0,6,3,193,3,57,30,232,12,4,0,6,193,4,11,2,51,206,8,11,7,15,37,27,12,1,7,34,6,5,385,5,14,6,13,3,37,17,4,13,2,4,142,4,0,3,4,20,38,15,11,335,5,4,9,55,12,2,16,9,17,17,6,24
"250",308,7,45,2,0,49,25,224,7,242,11,4,19,77,3,81,8,61,4,16,129,8,4,6,6,7,4,21,11,13,12,3,102,669,105,5,69,6,3,4,29,5,29,11,6,2,3,15,6,173,6,84,35,224,20,5,1,9,213,5,11,5,45,227,5,9,3,13,23,21,6,2,16,42,5,16,420,6,12,2,13,1,63,8,7,21,6,3,129,6,6,5,5,7,51,8,7,312,19,6,9,56,5,3,27,0,8,6,17,36
"251",291,22,31,2,8,48,5,245,10,202,19,9,19,81,3,96,8,53,3,24,138,9,7,3,5,16,3,36,7,1,22,8,81,684,103,1,66,6,13,7,26,19,23,11,10,11,5,6,3,200,9,44,36,216,18,3,4,4,175,2,14,5,47,221,6,5,13,8,36,20,19,2,4,34,10,4,456,0,25,13,11,4,46,17,5,21,6,4,146,9,4,2,2,15,52,12,8,322,9,2,6,45,15,3,8,5,21,13,2,23
"252",295,14,11,2,2,64,18,230,5,219,10,5,20,67,5,106,10,63,9,13,106,3,4,5,4,12,6,22,17,5,13,13,76,741,131,7,104,16,9,11,31,14,15,3,13,12,4,12,0,174,8,52,31,213,17,10,4,3,202,3,22,8,50,215,5,5,5,4,21,31,18,7,2,29,9,2,418,5,4,11,13,3,36,22,1,12,4,7,127,3,1,7,7,16,34,9,8,339,15,17,5,37,9,7,8,4,14,28,10,32
"253",299,17,19,3,8,49,24,207,2,229,10,21,34,82,3,87,0,66,5,16,142,8,4,7,8,21,9,41,11,5,24,1,91,733,101,11,72,7,3,2,16,9,15,4,6,4,0,6,5,193,10,54,22,208,17,4,4,3,174,5,11,7,36,231,6,1,7,8,19,37,5,1,21,44,7,3,416,2,10,13,21,4,38,7,2,16,5,3,129,5,9,9,8,18,56,8,14,333,14,4,13,48,10,5,15,7,24,20,11,18
"254",322,14,10,6,1,66,17,184,1,198,15,10,22,59,8,70,8,44,8,14,104,12,0,6,2,10,12,38,13,20,11,8,119,728,108,5,58,9,0,8,23,13,5,8,2,12,1,14,11,198,16,61,42,184,16,5,3,6,223,3,12,4,64,256,19,3,4,12,37,23,21,4,4,48,4,4,473,1,7,3,9,10,45,11,1,9,6,6,132,7,5,4,8,9,44,12,16,324,10,13,3,33,4,10,16,2,18,16,8,12
"255",296,27,28,10,2,50,8,204,8,226,6,10,26,78,3,106,2,54,1,8,98,6,6,4,0,8,7,32,26,7,23,3,87,753,92,3,94,6,7,9,31,13,14,11,12,7,1,11,9,188,11,65,22,196,19,2,1,3,214,1,9,4,29,193,0,2,12,19,39,37,10,8,9,47,11,3,450,5,7,18,17,1,33,16,0,12,12,2,150,4,4,4,8,27,44,17,16,307,12,10,3,22,10,3,10,4,38,21,3,23
"256",293,21,17,2,7,42,14,242,2,192,7,8,13,101,7,112,5,60,6,14,80,9,4,12,6,24,1,24,14,6,25,5,95,840,88,4,71,7,6,4,32,18,17,3,3,10,10,14,4,143,7,74,26,231,15,2,6,7,194,1,12,8,34,197,8,3,8,6,27,23,9,4,6,30,8,3,431,0,6,11,13,1,29,15,4,10,8,6,127,9,3,1,3,24,42,13,14,314,25,5,7,57,9,7,13,10,26,32,7,25
"257",331,27,17,1,9,51,6,200,5,248,10,5,17,91,9,114,6,60,5,14,103,6,9,1,8,20,2,49,11,7,17,3,68,767,84,1,65,3,3,6,42,4,15,7,2,4,12,13,1,213,4,46,33,177,21,5,6,9,184,0,12,5,33,238,5,3,4,14,47,37,10,13,10,32,11,5,408,2,5,7,17,2,26,10,6,14,5,1,144,4,2,7,25,11,33,15,13,345,12,2,7,39,9,6,17,9,15,29,4,13
"258",293,13,12,1,4,45,12,240,4,236,14,12,18,89,8,103,9,54,1,12,97,6,6,12,4,6,3,31,20,17,18,9,111,776,112,0,50,1,0,4,31,22,9,4,8,2,10,10,9,207,6,58,44,183,19,4,3,5,153,8,14,12,57,250,5,15,7,17,36,14,13,3,13,19,7,7,417,5,7,1,17,0,33,10,5,13,8,1,110,4,3,4,7,23,52,12,9,336,25,3,3,40,11,11,15,4,19,15,7,23
"259",374,18,17,3,1,66,8,210,1,262,12,4,19,76,6,90,0,64,3,13,129,14,2,3,3,22,1,35,7,6,31,6,76,771,113,1,78,4,3,4,26,5,13,8,3,9,2,7,4,154,8,62,46,180,13,2,13,8,160,2,7,7,33,189,13,7,3,7,16,30,18,6,7,29,6,1,408,3,9,17,11,8,36,23,4,10,8,5,169,13,3,3,8,18,41,8,10,353,13,7,11,43,4,9,9,3,12,33,14,14
"260",267,13,15,2,3,42,22,185,9,214,12,11,30,76,11,86,3,82,2,20,122,10,4,11,3,8,5,38,8,3,24,5,100,800,116,6,78,8,3,12,25,11,15,13,4,3,6,3,7,179,5,65,35,189,25,1,4,5,189,3,18,6,51,233,6,1,9,11,21,15,8,6,10,45,4,2,462,4,2,6,6,5,39,10,3,21,4,7,118,6,8,3,6,11,52,16,13,286,22,3,4,40,10,5,22,3,36,24,14,27
"261",317,25,29,2,5,59,4,221,9,219,9,17,8,90,3,86,7,59,2,17,84,7,6,14,12,20,8,37,15,13,16,13,93,820,96,9,95,7,0,10,28,10,18,13,5,9,1,7,3,195,7,59,33,176,21,7,9,2,172,1,8,14,37,188,8,0,5,1,23,13,17,9,5,29,5,2,437,5,11,2,10,1,38,11,3,11,13,3,138,3,1,9,17,15,54,6,25,305,23,5,12,43,4,5,9,2,21,24,4,27
"262",316,12,13,5,4,49,13,207,2,248,7,7,19,82,2,84,3,88,0,24,102,7,2,8,10,10,3,32,4,5,25,6,95,755,82,7,73,5,0,6,46,25,13,11,2,6,2,11,5,184,9,69,30,196,16,1,1,1,214,2,17,1,32,286,0,7,4,5,26,33,6,5,5,51,9,1,389,7,13,6,21,0,38,13,2,6,3,3,130,5,3,2,7,18,41,8,3,346,16,12,11,43,10,2,5,4,20,28,5,26
"263",295,25,12,6,1,40,12,221,2,224,14,9,28,70,6,108,0,42,3,9,128,4,12,8,1,18,3,34,16,8,15,2,72,786,94,2,91,14,2,0,38,18,24,10,1,6,3,3,3,202,6,51,53,206,29,0,7,1,239,0,2,9,67,194,6,1,15,2,15,26,14,2,7,21,10,3,420,7,11,7,13,0,33,13,7,8,17,3,154,8,1,12,11,10,33,8,16,307,7,7,6,55,5,8,24,3,10,22,7,16
"264",363,35,21,3,4,40,24,185,9,205,8,9,39,88,0,105,2,62,1,17,117,6,4,5,3,28,6,11,5,9,16,2,78,858,100,4,59,8,2,14,30,22,19,6,3,1,0,12,0,210,8,60,29,179,18,3,2,1,206,12,13,9,46,255,16,2,5,4,23,18,10,6,5,24,7,5,401,10,8,8,13,1,37,9,2,2,10,3,115,3,1,6,7,28,25,9,13,307,13,7,6,37,9,4,10,4,23,18,15,12
"265",341,20,22,1,2,37,20,216,5,246,15,11,13,90,6,93,3,35,5,11,105,10,14,9,4,8,1,44,19,8,25,8,83,770,81,11,83,7,6,3,28,7,17,7,6,15,3,10,2,164,1,35,23,195,20,1,0,11,229,2,8,4,37,192,6,14,14,13,29,21,7,7,9,39,10,3,448,5,9,4,7,3,41,9,5,11,3,8,142,11,3,3,6,6,23,12,10,359,12,4,0,54,5,10,11,7,31,22,10,26
"266",319,24,18,1,7,61,13,182,2,227,17,4,20,84,2,109,2,58,2,18,112,1,6,4,8,28,1,42,16,17,11,5,83,733,94,5,69,10,8,3,31,13,23,4,7,2,10,6,5,177,2,69,25,195,14,3,7,2,182,4,9,3,51,216,7,2,6,8,30,26,3,1,8,44,7,6,502,4,6,9,14,2,40,9,5,13,4,5,153,4,1,7,8,20,34,11,14,345,13,2,5,29,10,6,29,4,16,17,3,22
"267",304,27,10,9,5,56,15,245,4,240,11,3,15,101,5,66,4,52,0,18,130,11,5,8,5,16,3,41,7,4,25,4,95,683,100,3,117,11,0,2,40,2,14,4,8,2,1,13,0,213,9,52,27,248,21,1,13,12,185,1,9,8,66,244,5,3,7,11,17,45,7,5,10,28,8,2,420,7,7,7,16,9,30,18,9,8,13,1,110,2,5,6,6,14,37,22,4,311,11,8,10,34,7,0,5,1,23,23,4,11
"268",371,22,26,3,0,52,12,211,5,208,13,4,14,65,16,89,3,58,5,14,90,8,5,8,4,30,4,43,13,15,20,5,78,762,93,1,84,5,3,6,40,13,26,5,1,7,2,9,9,166,6,63,16,206,17,4,2,8,182,6,15,2,57,225,6,7,5,11,21,22,12,5,5,24,2,3,439,14,16,5,12,1,36,8,2,15,10,1,142,4,5,5,14,19,33,10,19,314,24,10,4,50,13,2,17,9,18,21,8,22
"269",276,28,23,2,3,70,9,234,1,185,17,9,16,70,7,99,5,68,7,17,102,4,3,12,0,18,4,34,13,13,25,4,79,763,105,4,96,5,1,9,39,12,18,21,2,8,3,4,8,195,8,60,38,190,19,3,6,0,176,0,17,7,50,209,11,12,11,11,28,36,12,13,9,36,4,3,465,1,6,6,4,4,39,16,12,9,7,4,124,5,3,3,11,15,39,10,8,335,11,4,3,37,5,8,11,3,23,17,0,33
"270",304,9,19,2,2,44,7,214,10,189,10,7,24,93,3,85,2,53,0,11,112,13,11,4,7,10,3,32,5,9,26,6,84,767,78,7,78,4,3,6,34,12,11,6,4,9,2,5,9,216,2,62,21,179,24,1,1,5,207,1,7,5,76,260,6,1,11,16,41,24,10,3,10,29,12,1,456,3,13,11,5,5,39,8,2,12,10,3,139,6,5,9,10,12,38,8,10,352,12,12,4,55,5,9,12,1,9,17,2,30
"271",332,38,13,7,7,69,19,220,5,210,19,8,18,70,2,94,6,35,15,8,93,6,9,6,1,16,1,22,12,3,24,9,89,790,108,8,78,8,6,9,27,9,14,10,5,1,0,4,2,206,10,66,40,214,11,5,1,2,175,1,14,6,47,198,2,1,7,4,25,10,14,3,8,36,9,2,443,0,4,12,16,3,40,16,9,14,12,4,132,8,0,1,8,20,41,24,11,345,15,14,5,45,7,2,17,4,16,12,2,16
"272",360,30,15,4,1,42,15,176,6,195,9,12,18,78,2,113,5,53,5,19,99,14,5,7,6,15,6,41,2,11,21,7,68,739,110,1,59,8,0,18,44,11,19,6,2,2,3,6,3,207,3,52,37,231,22,3,5,5,182,1,10,2,33,236,12,2,9,10,26,27,12,8,6,39,8,4,421,1,9,7,14,8,47,16,6,3,6,1,161,3,7,6,14,13,37,11,12,346,20,3,11,46,0,3,8,1,26,15,16,19
"273",336,15,19,6,4,62,11,221,1,218,10,3,19,93,2,80,5,50,5,12,112,3,2,5,4,17,1,26,20,9,18,3,83,844,113,7,81,8,5,12,17,7,17,21,4,1,1,10,9,204,9,43,32,248,7,6,4,3,210,3,18,6,63,190,6,9,3,14,37,29,10,4,14,27,5,1,364,2,14,0,9,3,26,19,4,2,3,1,143,3,5,13,8,8,42,3,4,331,14,14,11,40,5,4,24,0,19,8,4,13
"274",329,8,10,1,2,63,14,179,4,216,7,5,29,78,1,86,1,58,3,12,126,6,3,4,7,21,1,50,20,7,13,3,63,847,120,2,61,3,0,9,22,16,26,1,4,7,3,9,0,159,3,34,27,208,23,5,6,12,209,3,19,0,37,274,7,4,4,10,18,18,10,9,5,44,4,2,427,3,12,4,7,9,42,9,6,14,4,2,129,7,4,5,4,9,46,15,13,343,17,10,4,38,7,10,8,0,15,36,4,23
"275",329,23,16,0,0,60,22,177,5,214,15,3,23,95,4,117,4,43,5,13,119,6,0,10,1,12,3,44,19,11,19,6,91,711,94,0,93,5,1,10,38,16,19,4,2,8,4,10,6,196,4,53,41,199,16,7,2,12,217,3,11,4,49,212,3,3,13,14,17,25,5,8,6,30,11,4,404,4,18,10,15,14,39,16,6,9,3,4,126,7,6,6,7,12,36,18,8,357,29,6,1,35,5,7,22,6,25,14,8,22
"276",286,11,10,3,4,60,14,231,7,234,10,3,18,107,2,86,3,53,4,23,89,9,2,3,0,9,5,35,14,7,24,6,79,778,110,8,100,10,3,4,23,4,14,14,4,9,3,6,3,191,10,44,11,195,16,0,7,10,224,3,12,4,38,218,3,1,2,6,20,28,4,3,14,28,10,1,442,1,12,2,21,0,27,6,5,20,10,8,157,5,4,8,9,11,15,8,12,378,23,6,2,54,9,4,16,2,26,8,10,32
"277",294,31,11,7,3,44,7,230,4,245,10,9,31,82,7,82,0,50,7,10,99,8,6,2,3,25,1,25,15,5,22,1,93,768,92,2,77,6,4,0,40,8,25,7,3,8,0,1,4,188,1,59,39,204,31,5,4,2,206,3,8,10,50,255,2,6,6,7,34,16,6,9,7,35,5,4,386,2,9,12,16,2,57,9,7,12,7,6,169,4,2,2,12,13,46,7,7,323,13,4,0,53,13,5,13,1,28,21,3,20
"278",365,24,24,2,0,52,23,233,6,222,6,6,22,91,10,55,2,37,3,15,109,4,5,10,6,15,6,43,19,12,24,14,83,793,74,5,93,6,3,6,20,12,20,5,10,5,5,17,8,198,0,39,25,172,24,0,3,7,204,1,12,8,70,202,9,1,10,11,29,20,14,11,9,37,9,2,429,2,3,7,9,1,58,14,9,8,7,3,146,3,2,3,1,13,36,12,14,326,20,2,4,39,4,3,9,4,8,22,2,20
"279",325,27,9,6,3,42,6,196,2,258,15,6,19,93,5,89,0,55,1,17,102,17,13,5,7,9,2,24,18,7,20,3,92,737,95,1,61,8,1,9,28,13,17,4,12,10,0,25,12,206,10,72,38,201,16,5,2,2,192,2,3,5,56,248,6,5,5,5,31,15,1,5,18,27,22,3,433,4,6,14,10,2,33,13,8,16,6,3,119,8,7,7,6,14,45,13,14,335,19,5,9,44,5,7,11,6,8,14,11,18
"280",330,14,21,1,2,48,9,219,7,233,10,13,17,47,15,111,10,72,2,14,106,1,2,2,2,17,4,45,14,7,27,10,63,769,107,2,104,5,3,8,28,8,7,15,6,7,10,6,5,194,4,59,22,184,16,3,3,5,252,2,6,2,63,236,5,1,6,6,22,11,11,7,3,33,4,2,378,8,8,9,6,2,37,11,5,8,5,4,159,13,1,5,10,20,54,8,7,317,20,6,3,38,11,2,13,1,32,28,12,12
"281",329,24,18,1,3,62,15,193,2,233,8,6,22,66,6,103,5,48,6,21,111,9,4,5,6,14,1,30,11,8,9,6,118,795,134,3,86,13,5,5,33,15,11,6,3,5,0,9,4,167,13,65,41,201,12,2,3,1,191,0,7,6,48,215,7,7,6,12,15,28,10,6,7,51,2,1,437,4,23,3,4,1,36,10,8,8,14,5,134,6,0,5,10,18,38,8,9,325,5,6,3,42,16,1,8,2,16,21,3,17
"282",322,12,9,3,6,46,12,222,2,257,4,9,13,86,9,80,2,60,3,12,119,6,6,4,9,13,9,20,17,9,32,5,100,728,60,7,73,12,5,17,35,7,16,8,4,10,4,14,2,230,9,56,29,187,11,3,3,4,189,3,12,4,59,224,8,4,5,8,24,24,15,27,3,37,11,3,456,9,11,6,16,3,31,17,3,8,0,2,108,2,2,4,9,10,35,12,9,335,17,14,3,48,8,8,30,8,20,24,2,18
"283",301,18,19,1,5,67,14,182,9,230,8,6,26,93,11,87,2,43,6,15,129,10,4,3,7,12,11,36,14,8,22,5,77,806,95,2,59,5,8,8,26,6,17,16,1,16,4,3,3,208,1,51,32,216,19,5,7,2,184,1,17,8,49,241,2,4,9,14,27,28,13,5,7,32,8,7,424,6,16,4,8,1,25,5,7,12,4,0,131,6,6,11,3,17,37,4,21,329,9,6,6,63,11,9,19,3,12,17,7,8
"284",300,15,28,0,2,57,3,222,4,242,9,3,22,84,2,97,4,44,6,15,113,11,3,2,2,30,0,28,13,8,24,6,83,802,92,2,73,1,5,0,35,17,13,1,1,1,4,15,4,206,9,65,31,214,24,1,9,4,203,4,10,1,55,208,4,1,7,11,30,20,9,7,1,25,10,7,424,7,16,7,7,5,27,6,7,6,18,5,110,1,2,7,5,7,33,26,13,370,13,3,2,45,8,7,15,5,18,23,3,25
"285",288,17,15,3,3,54,24,211,5,211,20,9,19,93,8,89,5,54,3,14,119,11,5,3,0,16,7,23,12,16,15,9,82,726,92,5,75,12,0,8,40,6,18,15,6,1,4,8,1,199,2,60,23,201,11,3,1,7,242,10,18,6,45,256,4,0,2,12,23,23,10,4,4,42,3,2,459,0,16,8,5,10,39,11,10,8,2,7,139,1,1,1,11,12,67,14,9,288,12,6,6,62,11,1,5,12,20,27,10,17
"286",303,21,22,3,3,74,19,203,4,229,12,2,12,95,6,86,5,61,6,11,112,5,3,3,0,22,2,47,11,7,16,5,81,751,91,5,83,2,5,10,35,6,21,6,2,2,7,9,2,176,3,50,23,190,22,6,7,8,184,0,8,3,60,224,2,4,12,13,34,41,5,6,13,27,7,4,450,13,6,3,11,5,39,7,3,12,7,4,116,2,5,11,3,18,48,20,17,378,15,5,1,35,13,7,14,7,16,18,4,27
"287",276,18,13,0,2,38,17,184,3,194,8,9,35,98,7,95,1,49,10,15,123,14,5,9,2,20,8,34,11,6,21,3,85,790,76,5,86,6,3,4,26,18,10,13,3,8,0,8,5,223,1,53,30,191,20,3,3,4,214,3,5,4,47,226,10,3,9,6,24,16,6,6,4,30,10,4,417,4,14,9,12,5,43,5,7,17,0,2,165,7,11,4,10,16,45,3,7,388,27,12,8,48,8,4,7,2,23,13,6,22
"288",313,16,13,4,2,64,14,254,4,262,9,9,11,74,12,110,11,42,7,10,110,5,6,13,1,6,9,32,20,11,29,1,79,760,109,4,89,12,4,14,36,22,20,7,2,5,6,12,6,152,1,81,34,169,26,5,16,7,186,5,6,2,51,231,6,3,7,3,30,26,14,2,7,32,23,4,400,2,10,7,9,0,27,6,2,5,19,0,135,0,5,10,7,12,45,6,11,335,4,6,4,36,4,7,11,2,24,11,7,31
"289",342,17,42,0,1,51,27,220,4,187,21,6,29,73,3,95,2,74,2,27,96,4,1,13,1,23,2,29,12,9,16,11,75,731,93,2,76,5,1,7,25,7,11,10,2,1,5,5,5,216,2,42,28,213,19,1,7,4,205,1,14,5,51,202,5,3,13,6,13,24,7,7,11,23,4,0,429,1,3,8,11,7,38,11,3,8,1,2,154,1,10,6,9,21,41,24,10,370,15,7,11,36,17,1,20,4,35,30,6,23
"290",317,12,20,4,4,52,25,208,4,172,9,11,32,101,7,99,1,60,10,16,111,6,8,9,5,26,3,38,18,3,24,3,94,732,106,2,75,8,1,3,31,20,16,5,0,1,6,18,2,181,18,48,44,219,26,1,5,5,189,3,2,4,61,202,6,1,11,9,35,19,12,10,9,28,5,2,428,0,12,2,11,4,41,13,16,7,20,2,120,9,2,6,10,28,35,16,12,362,18,2,7,38,11,3,4,9,12,20,5,22
"291",322,20,18,2,4,55,15,229,2,197,10,3,20,64,1,102,9,54,2,31,90,11,8,2,5,14,1,30,2,10,35,1,69,845,98,0,73,14,3,7,40,11,16,1,3,2,2,8,2,161,3,52,48,202,27,6,3,8,218,3,20,6,55,198,4,5,16,8,38,19,6,5,11,30,3,6,458,1,4,5,15,13,33,2,3,25,10,7,111,2,5,5,14,16,43,14,4,325,12,10,11,32,7,6,15,3,26,12,5,22
"292",304,16,25,2,4,58,7,194,5,199,11,4,20,93,7,93,4,70,8,21,112,5,1,6,1,16,7,40,12,11,23,3,110,752,120,1,70,15,2,9,25,17,17,16,12,11,1,7,7,200,2,75,33,176,34,2,9,6,228,1,18,1,61,209,5,2,13,5,33,19,6,2,9,29,10,1,399,6,12,8,10,2,43,9,2,9,7,2,106,2,6,9,3,15,41,20,11,341,11,18,5,50,4,1,18,1,24,13,13,16
"293",345,25,12,2,3,51,15,201,1,195,20,3,20,86,2,79,9,42,9,8,127,3,4,12,4,26,3,45,15,7,14,0,97,778,92,3,68,5,2,3,31,15,15,7,6,7,4,18,1,209,8,40,36,217,9,10,19,6,180,3,12,6,30,212,4,7,6,18,24,32,4,3,13,44,4,2,442,1,5,9,13,1,49,12,5,10,10,4,142,4,4,7,6,21,50,11,9,307,11,9,5,42,6,8,12,6,13,32,6,30
"294",309,9,17,0,2,55,17,222,4,218,6,4,21,85,1,99,5,58,3,17,135,6,5,11,2,13,1,45,17,6,39,5,104,731,81,4,76,7,4,2,32,11,14,9,5,7,2,8,10,191,4,49,18,180,36,6,3,3,230,8,5,4,30,248,7,6,15,10,41,22,14,11,10,35,6,1,465,3,10,9,19,6,28,12,2,17,1,2,138,7,3,4,7,21,39,11,4,311,17,2,5,39,9,4,8,3,7,21,6,23
"295",321,26,14,7,0,57,13,188,5,234,27,3,16,57,0,84,3,59,3,24,113,8,9,10,4,13,1,38,10,11,16,7,81,763,104,5,73,7,11,8,33,13,9,7,3,2,1,9,0,179,10,48,23,197,36,12,6,0,195,2,7,2,46,217,4,1,11,10,20,32,4,2,11,34,5,4,460,11,15,12,13,4,37,8,4,9,6,10,126,11,10,3,8,9,47,16,7,351,14,8,11,58,6,7,22,3,27,21,4,14
"296",307,19,24,2,5,75,13,180,11,197,10,4,32,76,6,113,0,40,4,28,124,6,5,9,5,10,2,31,18,14,35,5,92,760,83,6,81,2,5,2,42,9,17,13,5,4,5,8,4,173,4,75,26,244,20,2,10,5,212,7,8,2,49,202,6,7,5,3,28,19,10,2,10,36,13,3,424,3,9,9,9,1,41,20,11,10,9,5,123,9,6,8,5,16,40,7,4,356,16,8,8,35,4,1,16,2,11,15,6,24
"297",330,27,23,5,3,70,18,174,2,236,16,9,23,86,9,86,11,60,2,7,96,2,4,11,4,18,0,37,14,6,35,9,93,709,96,1,57,6,11,5,32,10,17,16,6,8,4,8,9,153,4,55,21,169,17,3,7,3,237,4,15,2,35,241,5,1,4,12,31,17,14,4,6,36,8,4,446,4,6,6,7,3,39,9,2,11,4,6,113,7,1,4,4,18,46,12,17,386,20,2,5,42,18,8,18,2,28,26,14,37
"298",333,12,30,7,5,59,10,197,7,218,12,8,15,64,5,109,11,50,4,11,114,5,11,3,1,8,4,30,17,18,8,6,92,826,104,2,68,6,4,8,26,9,13,11,0,6,2,3,0,194,3,49,28,186,15,0,7,5,187,9,13,7,65,207,10,4,5,7,26,21,5,7,9,25,5,2,451,0,6,5,10,3,33,14,17,14,3,2,129,2,1,9,9,19,42,10,9,350,13,7,9,60,7,14,20,6,18,13,4,18
"299",299,19,15,6,3,64,18,199,6,220,9,3,18,87,2,111,2,57,1,15,101,1,3,15,7,11,2,20,23,10,19,2,94,714,106,3,80,14,3,5,27,11,9,5,6,5,8,14,9,188,3,71,30,178,25,4,8,13,223,2,8,7,69,224,2,1,6,8,19,22,5,4,2,25,10,8,462,3,7,9,15,5,58,3,2,8,12,6,153,6,2,3,9,12,54,16,11,339,14,6,11,29,6,5,8,4,31,17,13,15
"300",339,11,18,4,6,81,5,205,3,213,11,6,24,87,7,87,1,58,5,18,112,6,4,2,9,5,9,31,21,6,10,8,88,778,71,2,106,8,9,4,43,5,11,4,2,4,9,14,3,196,7,39,35,210,16,1,1,1,172,1,18,5,48,231,15,9,6,9,11,27,14,7,12,50,16,15,438,5,3,8,7,5,28,12,2,7,6,3,113,8,3,2,1,11,40,18,10,324,11,3,3,56,15,5,18,6,23,27,7,27
"301",318,12,21,2,0,50,9,229,3,210,13,9,29,112,4,75,4,58,2,17,111,11,6,9,3,23,6,39,10,9,17,5,75,797,73,2,76,3,1,8,29,14,9,4,2,0,6,6,5,203,4,61,28,222,19,3,8,3,211,3,8,4,50,207,8,1,9,7,21,28,13,10,20,39,12,0,410,5,3,8,18,0,52,6,5,19,6,0,132,17,0,5,11,7,23,18,6,337,20,4,1,54,6,5,16,6,25,18,7,12
"302",291,17,22,3,8,64,17,188,7,268,21,2,24,98,2,78,4,36,1,17,107,5,3,11,2,17,6,37,10,0,29,0,82,760,87,4,83,3,3,2,37,6,11,9,6,4,6,7,0,224,7,50,28,197,23,2,3,2,216,0,11,12,49,228,3,7,5,7,36,30,10,2,8,44,15,6,385,3,10,13,12,5,44,14,3,16,12,6,129,5,8,7,3,7,33,15,7,334,26,3,6,31,10,2,19,7,50,17,4,24
"303",307,33,23,0,2,46,7,233,4,267,8,10,32,76,3,97,2,59,2,13,108,8,5,10,8,11,1,38,14,14,33,7,93,748,106,2,83,11,0,5,32,13,10,3,5,2,5,5,7,170,10,66,25,190,23,5,3,9,203,2,11,5,58,261,7,4,6,8,40,25,14,0,10,40,11,2,421,15,10,9,11,2,24,2,16,16,8,3,131,3,2,3,3,8,33,9,12,282,20,6,6,35,7,2,15,2,16,23,6,20
"304",372,6,18,4,4,59,14,215,2,219,14,14,33,53,8,107,5,66,5,6,113,2,8,5,1,7,3,37,9,6,13,11,76,804,92,1,76,11,2,2,44,9,28,6,2,8,5,19,2,161,0,47,38,240,14,7,9,6,197,2,13,8,63,219,4,0,8,4,16,16,6,8,4,34,6,2,405,7,13,3,8,2,51,9,7,15,15,1,152,6,4,0,8,16,45,10,2,314,16,2,5,24,24,1,14,4,14,22,4,19
"305",350,19,11,1,1,51,2,211,3,262,17,12,15,86,4,105,3,85,2,12,115,4,3,13,6,9,1,28,10,8,27,7,98,761,116,1,55,9,0,9,19,10,11,4,3,3,1,9,5,178,2,59,30,200,20,3,4,1,200,6,7,16,63,244,6,4,13,7,26,33,3,9,9,24,14,2,379,10,8,5,8,3,25,10,6,12,13,4,125,7,8,15,10,16,35,8,7,326,12,12,14,47,6,1,10,3,22,25,8,20
"306",310,22,21,7,4,48,16,222,3,220,15,8,23,83,9,79,6,75,4,24,96,8,1,15,3,9,10,25,9,4,29,2,94,780,112,8,55,15,3,6,27,9,23,6,2,5,0,9,5,185,11,62,27,188,19,3,4,5,202,6,11,2,39,178,8,2,3,16,28,25,10,5,6,31,7,8,462,10,8,17,14,1,44,13,3,16,7,9,120,11,4,5,12,27,34,11,7,366,9,1,6,46,11,5,12,4,8,21,3,13
