"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"131",2,10,20,8,12,3,9,3,2,1,15,67,9,1,10,2,6,5,0,2295,6,5,8,1,1,21,28,8,8,5,17,3,204,6,7,88,1983,3,6,20,10,46,4,4,6,1,10,5,3,3
"132",4,5,29,15,7,3,6,10,5,1,12,77,14,7,5,4,5,3,4,2238,2,5,12,2,2,28,31,8,14,2,27,4,189,6,2,113,1995,0,3,17,15,32,1,6,3,2,10,7,7,1
"133",4,9,28,7,2,4,2,2,2,0,8,85,7,1,10,0,4,6,3,2308,8,2,11,0,5,27,29,1,9,3,20,2,242,6,3,96,1926,6,5,15,7,40,0,5,6,2,13,7,9,3
"134",0,5,26,20,11,9,15,1,2,2,10,100,15,9,9,3,2,3,1,2230,7,7,16,6,3,22,40,6,17,1,26,5,197,3,1,91,1947,2,6,20,15,36,3,14,3,6,13,5,3,6
"135",6,4,28,6,9,5,2,7,1,1,2,85,5,2,8,0,4,8,4,2268,2,6,7,0,4,22,32,5,12,5,25,7,211,7,4,96,1980,8,1,9,13,46,2,7,4,1,8,10,10,1
"136",0,4,24,12,11,3,10,3,6,2,8,72,19,7,3,4,2,2,4,2271,3,8,13,3,5,19,32,4,14,4,28,1,210,6,3,93,1951,1,3,21,9,60,0,10,4,1,10,11,4,2
"137",1,11,20,19,6,5,7,5,4,3,4,81,17,0,5,7,4,5,2,2323,3,2,6,2,2,19,32,6,19,8,17,6,194,8,2,87,1938,3,3,16,10,37,4,7,2,2,17,11,8,0
"138",3,6,30,15,8,0,5,8,2,5,3,78,13,4,5,6,10,0,2,2260,4,10,3,4,1,23,37,6,10,9,24,3,196,1,1,105,1991,1,3,15,10,32,2,8,5,2,10,11,8,2
"139",1,6,26,7,8,1,9,5,5,1,10,98,14,1,3,7,3,4,4,2260,4,5,5,5,7,33,49,3,18,3,19,0,211,1,9,97,1904,3,9,25,15,53,5,9,4,7,12,5,5,2
"140",1,4,24,14,19,3,6,13,10,2,5,66,9,7,2,2,5,11,0,2280,8,1,17,2,1,30,35,2,14,6,29,5,202,2,7,84,1956,3,6,24,6,47,1,11,0,2,6,6,1,3
"141",1,3,34,12,10,2,4,4,2,2,9,55,9,8,5,9,3,2,4,2317,2,4,9,2,6,26,36,5,9,6,21,5,213,2,5,85,1956,2,2,16,5,33,5,10,6,2,14,9,7,2
"142",1,9,25,15,15,3,5,3,5,4,4,55,8,1,11,2,5,5,3,2260,4,6,13,2,1,29,33,5,14,3,21,4,205,5,9,121,1973,0,6,24,9,32,2,14,3,2,6,10,4,1
"143",1,7,30,6,7,4,3,0,7,4,5,62,24,3,9,2,3,4,4,2298,2,10,12,5,5,28,33,1,5,7,21,3,230,1,8,93,1928,0,5,24,7,51,7,5,4,2,6,10,3,1
"144",0,4,36,13,13,5,8,5,2,3,7,66,7,6,11,1,12,2,3,2289,6,8,5,3,2,32,48,9,9,4,23,2,231,3,1,99,1899,0,2,15,24,48,1,7,4,4,4,10,4,0
"145",2,12,37,4,7,2,1,2,4,8,5,80,18,8,2,3,5,1,4,2328,1,3,17,3,1,27,19,14,12,2,28,5,202,1,1,98,1909,2,5,11,11,47,2,7,5,4,10,8,6,6
"146",4,3,26,14,13,7,5,7,2,3,13,46,14,1,5,0,6,5,2,2271,5,2,11,2,12,41,42,7,8,4,22,8,198,10,4,71,2009,1,6,15,13,36,2,3,2,1,6,4,5,3
"147",8,5,29,13,8,3,5,4,5,5,8,99,11,3,2,10,5,4,1,2266,14,3,10,2,4,29,34,3,18,1,25,6,194,3,3,109,1921,6,5,19,15,41,5,7,6,5,2,11,1,4
"148",8,9,21,6,4,2,14,13,6,3,2,91,10,1,4,4,3,1,4,2299,5,6,6,1,8,41,35,5,16,10,34,1,197,2,3,77,1895,3,9,19,7,54,6,17,6,2,13,11,3,3
"149",2,4,28,15,12,2,3,8,0,0,5,67,14,8,6,3,7,6,6,2240,5,4,10,3,1,20,25,5,16,3,13,1,208,1,1,72,2058,7,5,27,9,37,1,5,1,2,14,6,3,1
"150",1,5,22,7,5,4,7,2,3,2,11,79,11,4,3,7,9,3,4,2289,8,4,11,1,7,29,35,9,13,5,22,8,197,5,5,79,1966,2,2,17,13,42,2,9,1,0,13,6,9,2
"151",0,6,28,9,10,7,2,4,4,5,9,57,11,8,5,3,6,6,5,2334,1,7,9,1,4,22,41,3,8,6,19,7,208,6,1,99,1933,4,6,14,9,47,3,4,5,0,8,4,1,1
"152",1,1,25,9,5,5,8,2,0,2,5,66,9,8,8,0,3,3,6,2202,4,3,2,1,2,18,39,2,9,0,40,2,197,2,5,99,2095,1,2,13,22,33,4,10,2,4,6,3,5,7
"153",1,2,24,8,5,2,11,10,6,2,3,60,12,13,7,2,3,8,1,2379,0,5,5,2,2,26,28,2,11,11,19,7,208,6,9,84,1882,1,5,30,12,48,2,6,6,2,10,6,6,0
"154",3,5,24,7,14,1,3,6,6,1,2,83,23,4,1,0,19,2,0,2265,2,5,15,6,7,24,20,8,6,2,36,6,171,3,3,111,2016,3,1,19,4,26,1,8,7,3,7,3,3,5
"155",2,8,34,8,7,7,7,5,9,6,5,71,9,6,1,5,8,8,2,2207,2,5,14,0,2,37,28,5,10,5,29,6,202,2,7,125,1980,4,1,15,15,43,5,7,1,4,10,13,4,4
"156",1,5,42,10,6,0,11,7,4,1,4,62,12,3,11,4,2,9,6,2293,5,2,15,2,3,24,21,7,11,2,24,8,177,2,7,104,1983,1,4,12,6,42,4,3,1,2,13,11,6,5
"157",0,0,24,12,10,0,2,8,2,4,13,58,9,2,16,7,1,4,0,2290,5,2,9,0,5,35,26,6,11,3,23,2,224,9,6,84,1983,4,2,18,4,42,1,9,0,3,8,5,2,7
"158",4,6,20,8,7,4,4,8,3,4,5,71,14,11,5,2,1,6,0,2267,3,10,11,1,9,27,25,6,8,7,22,3,207,1,6,90,1986,4,1,15,23,48,2,5,2,1,10,9,4,4
"159",3,1,25,11,14,0,7,9,2,5,11,81,12,8,5,2,9,2,0,2194,4,5,10,1,2,37,34,1,9,8,22,5,206,3,1,89,2048,4,5,13,12,37,8,3,9,3,3,6,7,4
"160",2,9,30,8,10,4,7,1,3,9,8,77,12,4,2,4,5,0,3,2396,5,4,10,0,6,34,35,4,26,6,25,3,171,5,3,78,1868,3,5,8,13,50,1,10,5,5,10,5,6,2
"161",5,7,15,9,10,0,6,5,6,2,15,65,14,9,8,0,8,3,1,2307,1,7,3,6,4,19,37,5,10,4,19,7,192,1,4,60,2009,3,7,23,9,32,5,6,0,5,9,8,8,2
"162",5,1,31,8,8,1,8,6,2,4,12,68,27,6,5,4,3,3,1,2257,3,6,7,3,9,36,19,2,12,8,18,11,199,6,3,88,2000,4,1,17,7,49,1,6,2,3,7,7,5,1
"163",3,5,21,12,14,6,5,4,7,13,6,68,11,5,9,3,2,3,4,2238,7,2,7,1,6,29,40,9,7,2,33,6,185,1,2,105,2019,2,5,11,7,34,3,7,5,3,5,10,6,2
"164",1,3,38,4,8,7,4,1,3,6,7,63,16,8,2,1,18,6,1,2305,2,1,12,1,1,33,36,5,16,3,21,7,173,2,6,106,1936,1,6,18,12,56,3,6,10,2,7,9,5,2
"165",4,17,39,12,3,1,6,8,6,3,13,41,16,4,3,5,3,1,5,2206,1,3,15,5,6,30,27,12,12,8,20,12,195,0,0,103,2034,2,5,17,13,40,1,14,8,2,9,8,2,0
"166",2,6,30,18,6,4,4,3,11,2,6,102,12,7,2,4,6,2,0,2359,4,5,8,2,11,33,28,4,20,6,10,6,178,8,3,108,1880,0,1,12,14,31,0,16,0,0,13,8,4,1
"167",0,15,32,7,8,4,3,4,2,6,3,85,17,8,9,10,3,3,3,2258,3,4,11,3,10,26,26,4,3,6,25,2,192,2,4,106,1971,0,6,11,15,48,3,10,3,0,8,6,9,3
"168",2,1,25,18,9,2,1,13,1,6,1,76,9,17,8,9,3,4,4,2301,5,2,13,3,2,33,40,4,8,7,14,1,201,3,2,117,1916,4,7,13,12,39,3,11,6,0,9,4,8,3
"169",4,4,16,13,14,4,11,12,4,3,5,62,19,5,5,0,9,6,6,2276,8,5,10,2,4,25,21,7,8,1,31,16,182,3,2,82,2000,6,4,14,10,36,5,2,11,2,10,10,4,1
"170",3,3,23,7,9,5,9,6,5,11,8,65,10,6,8,4,6,1,9,2317,3,7,7,1,5,23,25,3,3,7,26,4,221,2,5,86,1910,4,6,11,14,60,0,21,3,1,7,6,9,5
"171",2,10,24,12,6,1,3,4,2,2,11,60,14,2,2,4,6,5,2,2384,5,2,5,6,2,30,32,3,6,2,17,11,166,3,7,94,1935,2,3,20,5,47,2,7,1,1,9,8,5,8
"172",2,10,35,2,11,0,0,12,4,1,9,82,19,3,8,0,8,4,0,2311,4,7,9,4,13,30,27,3,8,4,28,2,202,3,2,86,1938,1,3,18,8,34,4,9,1,2,10,6,10,3
"173",4,1,29,8,5,1,2,5,1,6,12,79,16,11,9,1,6,4,0,2245,4,5,7,2,3,21,23,4,11,2,28,13,216,3,0,101,1989,0,3,16,11,48,3,11,3,1,12,7,6,2
"174",2,4,44,19,5,7,21,4,2,2,13,85,11,4,7,2,3,1,2,2232,3,2,9,2,9,30,33,3,12,11,24,4,190,3,0,88,1978,4,3,25,13,38,1,5,5,5,8,7,7,8
"175",11,6,24,16,9,6,13,1,3,4,11,75,14,5,6,3,5,6,1,2187,3,10,10,4,3,33,33,1,9,8,15,1,209,3,4,91,2040,1,4,24,10,29,2,7,6,3,10,14,7,0
"176",2,4,17,14,8,3,6,3,1,1,1,83,15,3,9,5,5,3,7,2281,5,3,11,6,5,33,35,4,6,3,26,3,194,14,0,99,1933,5,6,25,13,39,1,11,9,7,9,7,6,11
"177",0,9,35,11,6,3,6,6,3,2,7,72,15,23,3,0,4,5,3,2229,4,4,15,1,10,28,29,5,3,8,20,10,213,2,5,100,1983,4,4,14,12,43,2,4,1,2,15,6,9,2
"178",1,3,19,6,13,10,5,9,2,7,6,77,17,4,10,2,6,3,2,2237,3,6,8,2,6,17,30,4,13,4,26,5,216,3,0,123,1972,4,2,27,11,50,1,3,1,2,9,6,5,2
"179",0,6,21,13,4,2,6,0,2,3,6,59,12,4,8,4,3,4,5,2244,7,8,4,0,3,28,22,2,14,3,27,5,228,4,1,69,2040,4,8,17,16,26,6,10,8,5,11,5,7,6
"180",3,3,40,7,11,3,1,10,1,8,12,70,18,9,6,4,9,2,2,2238,2,2,17,2,2,33,35,9,7,16,21,2,212,0,3,66,2002,2,6,18,2,55,0,5,5,3,7,3,6,0
"181",3,6,47,17,10,4,7,5,4,2,8,74,12,3,3,3,3,4,1,2272,7,6,4,2,1,26,34,6,16,4,19,5,225,6,5,87,1943,2,6,16,12,51,2,6,4,3,5,5,3,1
"182",5,3,39,8,9,1,4,4,2,9,8,56,18,9,4,2,4,6,2,2298,6,3,6,1,1,31,41,6,10,6,21,0,191,4,4,109,1954,0,5,26,4,49,4,6,6,0,5,5,4,1
"183",5,3,18,15,7,7,2,10,3,3,6,84,18,1,7,2,11,2,8,2345,2,5,11,2,5,28,24,12,9,1,25,3,181,1,1,85,1930,2,3,24,10,39,4,8,5,2,10,7,3,1
"184",3,8,30,15,10,1,5,5,1,3,5,58,14,10,8,5,3,5,3,2255,7,9,8,0,1,27,28,6,10,3,21,7,201,4,2,90,2006,1,4,21,8,48,4,12,1,1,7,12,2,2
"185",0,8,45,13,9,6,4,6,4,4,7,55,8,2,6,3,9,4,1,2276,5,6,8,2,9,33,28,5,13,13,16,5,208,4,2,90,1977,1,3,23,3,33,1,10,0,3,11,4,10,4
"186",2,5,30,10,7,3,7,2,9,2,8,82,8,1,4,2,3,3,1,2339,7,7,10,3,1,27,35,2,9,5,24,3,180,3,4,67,1969,2,5,16,7,56,0,3,1,1,8,12,3,2
"187",0,6,33,7,5,4,4,2,6,10,4,65,9,6,2,2,6,3,1,2375,2,6,12,2,1,22,33,1,7,4,36,3,201,1,2,98,1904,3,1,18,9,40,2,5,9,3,9,7,7,2
"188",3,8,28,15,12,7,14,9,8,3,5,71,10,3,9,3,6,5,0,2285,7,2,6,6,1,22,47,2,10,9,21,4,205,0,2,103,1911,3,2,25,11,50,5,5,5,2,16,6,7,1
"189",0,8,36,7,5,4,9,8,4,0,23,96,12,6,3,2,2,8,0,2253,5,2,8,3,6,24,37,1,9,10,24,10,183,10,2,75,1984,1,1,24,8,53,2,8,1,3,7,7,5,1
"190",1,3,26,8,7,12,7,1,2,4,17,67,13,5,13,4,3,2,2,2251,9,3,13,1,1,15,26,4,17,6,22,4,222,4,3,78,2004,4,3,20,11,40,1,5,6,1,13,6,8,2
"191",1,2,27,4,12,2,5,1,5,1,15,79,15,3,5,4,6,9,0,2298,1,7,10,4,2,34,29,1,3,1,34,2,188,4,3,89,1981,2,1,14,5,53,2,8,1,0,8,13,3,3
"192",0,4,36,21,16,2,7,10,2,2,6,87,13,5,10,8,7,2,2,2229,4,10,7,4,2,31,50,8,6,7,14,6,228,0,7,95,1910,2,8,23,2,62,7,8,9,0,5,9,4,3
"193",0,8,42,17,13,12,5,8,4,3,7,71,12,3,3,7,15,2,2,2232,5,5,5,0,3,26,32,2,13,8,28,8,206,0,2,94,1998,3,5,11,13,36,7,7,1,3,5,3,2,3
"194",3,10,35,9,12,5,3,5,4,2,4,68,11,3,6,3,5,5,0,2307,9,10,11,2,0,25,52,5,14,4,18,3,194,2,6,92,1929,4,5,14,16,45,0,4,6,0,11,13,6,0
"195",3,3,38,12,7,0,9,4,2,1,8,86,10,3,9,8,5,1,7,2302,3,3,9,3,3,37,32,13,20,14,20,4,178,3,5,81,1940,2,3,26,22,33,2,7,4,3,3,2,6,1
"196",1,5,22,14,13,6,12,2,4,4,7,74,9,3,4,6,4,3,3,2274,8,6,13,4,2,26,18,3,6,5,45,4,216,4,4,102,1947,2,1,21,11,40,10,5,6,1,12,5,2,1
"197",0,3,15,11,6,0,4,4,4,2,12,74,12,7,4,1,0,1,7,2244,3,7,11,5,1,30,32,6,6,12,25,8,172,2,0,99,2069,0,2,23,7,38,2,6,1,1,11,5,5,0
"198",3,8,29,8,8,3,6,2,1,2,4,67,15,10,7,3,1,2,0,2349,3,1,8,6,6,25,34,4,9,6,13,7,199,2,6,104,1895,4,1,29,11,50,1,8,11,3,8,10,3,5
"199",2,10,39,15,9,2,5,3,7,0,6,82,17,2,7,1,3,8,3,2292,4,2,7,3,4,30,36,1,9,7,23,6,202,3,7,91,1931,4,5,13,7,57,4,2,3,4,5,9,6,2
"200",4,1,22,19,11,5,13,6,9,5,7,75,14,11,7,0,3,2,7,2328,4,8,13,1,7,26,31,7,8,8,25,12,183,2,6,105,1893,1,4,22,13,38,5,9,3,2,4,8,2,1
"201",5,6,29,12,5,0,5,2,0,2,14,83,5,8,5,3,10,9,5,2239,1,5,13,2,2,28,24,4,15,8,29,3,189,0,1,90,1999,3,5,27,15,45,7,9,8,4,3,10,4,0
"202",3,2,41,11,15,7,2,4,2,2,9,81,18,3,2,3,7,5,3,2271,3,4,10,7,2,30,34,4,17,4,17,0,197,4,2,107,1942,8,2,22,9,43,1,8,4,3,9,7,9,0
"203",4,5,25,19,9,4,7,7,6,7,5,92,13,6,8,0,3,4,2,2280,6,2,6,0,2,33,35,3,14,7,20,6,174,2,9,90,1946,1,1,16,10,56,5,6,4,4,8,16,11,1
"204",5,4,31,11,7,5,8,6,11,7,4,73,14,5,6,2,3,2,3,2275,2,5,12,3,6,33,39,5,12,3,16,2,191,1,3,80,1968,2,7,10,8,68,2,9,4,5,6,7,9,0
"205",1,7,32,11,21,6,4,2,11,1,1,71,6,8,11,2,5,4,2,2266,10,7,7,0,3,30,36,4,11,3,22,1,180,4,1,102,1970,4,1,17,6,43,8,12,4,0,15,13,11,3
"206",6,5,23,9,13,1,5,2,2,4,7,80,10,7,6,4,0,7,1,2311,4,3,7,5,5,31,30,7,11,9,26,5,187,9,5,89,1954,0,2,28,5,46,1,13,2,1,7,0,2,3
"207",8,7,18,8,6,3,4,5,7,2,11,81,12,8,4,6,3,1,3,2319,5,3,10,3,6,33,33,2,1,5,23,7,165,4,3,109,1959,4,2,25,4,48,0,4,2,2,5,8,3,6
"208",2,3,34,15,15,4,3,3,2,4,6,71,15,2,5,6,12,9,1,2298,3,5,7,6,2,19,27,4,12,4,20,6,178,0,5,99,1961,8,2,35,13,48,4,6,1,1,4,7,2,1
"209",0,8,27,11,5,5,18,1,3,4,5,92,12,5,11,5,4,1,6,2257,5,6,9,1,3,13,37,5,4,13,15,1,198,3,4,91,2004,1,2,14,12,45,1,9,1,0,13,6,1,3
"210",5,8,27,6,9,3,2,11,5,2,12,64,13,3,2,1,3,1,0,2270,3,4,4,2,4,31,36,5,3,6,31,4,197,1,0,88,2020,5,2,16,7,47,2,11,6,4,7,5,2,0
"211",2,2,24,12,10,3,10,2,1,8,4,60,10,10,14,3,1,5,1,2367,1,5,7,3,6,17,26,2,10,10,22,4,160,9,2,82,1983,2,0,15,5,38,1,4,8,8,11,5,0,5
"212",5,6,26,11,2,4,8,3,6,2,11,84,17,6,3,1,8,5,2,2289,3,1,17,3,1,38,33,16,8,8,28,7,195,5,6,124,1897,4,5,19,12,33,5,3,3,1,13,2,7,4
"213",4,8,27,6,13,2,8,5,5,1,7,61,11,13,0,4,5,11,2,2325,3,3,13,0,3,28,43,6,16,11,24,1,170,0,3,125,1944,5,4,13,10,41,0,2,2,1,3,5,2,1
"214",2,2,34,13,10,3,12,4,1,2,11,68,13,5,4,7,3,9,4,2277,1,2,13,1,5,28,26,2,12,5,19,1,226,7,7,117,1951,3,3,13,8,32,2,13,4,0,6,4,4,1
"215",0,6,18,19,12,3,8,5,4,1,14,66,8,2,5,7,8,4,2,2280,7,4,10,0,5,32,37,4,9,1,24,4,196,6,3,79,2006,3,1,22,8,44,2,5,3,1,8,3,0,1
"216",4,8,33,8,21,5,6,9,8,1,13,62,17,9,6,8,8,1,2,2159,3,2,14,3,10,31,31,4,16,10,22,8,207,3,2,88,2034,1,8,11,14,50,3,15,2,1,10,4,1,4
"217",1,1,33,16,5,3,1,5,2,1,6,68,5,10,7,1,8,2,1,2259,5,1,9,0,11,23,38,4,12,4,22,6,183,4,2,74,2051,2,1,20,7,41,0,9,3,3,13,12,4,1
"218",1,18,21,11,8,3,4,6,7,8,7,78,7,2,7,6,9,1,2,2272,4,3,5,4,3,39,40,7,5,9,16,2,191,2,9,75,1987,4,6,15,8,36,1,13,4,2,17,7,7,1
"219",3,7,38,3,7,5,1,8,1,7,2,47,17,2,7,3,8,5,6,2288,1,7,15,5,3,21,37,6,5,1,21,2,210,2,1,93,2021,2,8,10,3,35,1,13,1,0,3,5,0,3
"220",1,13,35,12,7,1,12,11,4,1,7,72,18,6,12,3,2,5,1,2239,5,3,5,5,7,32,30,9,9,3,13,5,217,2,3,88,2003,1,3,12,2,39,3,7,4,1,17,3,4,3
"221",3,5,26,10,7,8,8,2,3,4,8,68,15,1,9,3,5,3,7,2204,3,6,13,1,1,31,32,4,10,4,24,4,186,3,1,79,2086,0,3,16,17,44,2,2,5,1,11,8,1,3
"222",1,3,46,6,14,1,7,9,3,2,4,72,15,4,8,1,7,3,1,2163,2,5,6,2,7,22,33,1,7,3,20,3,219,4,7,109,2056,1,4,20,5,53,1,12,7,3,8,6,3,1
"223",1,3,24,9,14,4,5,4,4,1,11,87,14,8,1,0,11,6,1,2259,3,7,7,0,8,33,35,4,10,2,26,3,207,4,0,75,1996,0,6,30,4,37,5,10,3,5,4,5,3,1
"224",3,3,21,3,10,3,4,15,7,3,5,64,13,10,4,2,18,3,1,2302,2,10,6,1,4,30,33,5,8,8,28,2,190,6,4,93,1912,2,5,33,18,48,1,14,12,2,8,6,13,2
"225",1,7,39,16,3,6,7,6,2,1,4,59,9,1,5,4,3,6,0,2299,1,10,18,2,4,44,35,12,6,3,35,3,207,7,6,78,1934,2,7,21,10,40,0,15,2,1,8,2,7,2
"226",4,6,33,7,11,4,1,4,1,1,9,71,10,5,10,6,9,4,1,2295,1,8,7,0,4,23,30,3,15,8,27,1,204,6,3,96,1948,0,2,15,19,44,4,3,5,5,17,3,7,0
"227",0,5,33,11,3,8,2,8,2,1,5,81,11,8,5,5,4,5,4,2252,2,5,10,3,8,25,41,4,13,9,23,10,220,1,6,91,1962,2,4,14,3,59,3,8,3,0,9,1,5,3
"228",0,8,39,9,6,4,5,2,3,5,5,61,11,1,8,7,5,6,3,2314,1,4,11,1,0,32,27,6,6,6,28,10,171,6,4,92,1984,2,7,12,3,41,2,4,0,2,8,19,7,2
"229",4,1,39,9,6,1,3,0,0,8,8,73,10,4,3,3,1,4,0,2315,2,5,7,4,6,37,33,3,8,4,19,8,224,0,1,96,1935,8,1,23,9,40,0,4,1,0,13,6,9,2
"230",0,5,32,15,10,5,5,3,1,3,8,65,19,2,5,1,10,3,1,2192,6,4,10,1,8,35,24,6,6,6,27,4,186,3,3,76,2099,1,3,20,10,28,4,8,2,3,9,12,7,4
"231",3,7,28,12,8,0,5,2,2,8,2,82,17,11,2,2,4,1,2,2271,7,4,16,8,1,28,39,9,10,5,30,2,216,4,1,102,1957,0,1,14,8,38,1,6,2,0,11,7,2,2
"232",4,7,29,14,11,5,4,6,2,2,10,68,11,4,5,1,6,4,5,2234,1,3,9,9,2,28,40,3,6,4,16,6,218,2,0,112,1993,1,2,16,12,38,0,18,2,1,8,9,6,3
"233",5,2,28,6,16,6,6,5,7,5,15,63,13,3,8,5,4,5,6,2309,5,6,6,3,10,26,33,6,12,7,33,5,203,3,5,98,1912,0,6,20,12,40,2,11,4,1,4,3,7,0
"234",0,4,32,4,14,3,5,4,2,2,18,102,11,5,5,5,11,1,0,2241,5,5,5,2,3,37,51,2,8,2,21,2,202,9,8,90,1958,1,3,22,18,40,2,4,4,3,15,8,1,0
"235",2,5,30,4,13,0,0,0,3,7,11,68,20,6,8,2,2,6,1,2287,3,9,15,6,7,24,23,14,14,4,28,2,185,4,5,109,1971,2,4,7,16,37,5,7,5,1,8,5,2,3
"236",3,3,24,12,9,6,8,7,2,5,6,56,15,4,3,1,10,5,4,2273,6,2,11,0,4,23,39,5,13,5,24,8,209,2,4,90,1971,0,4,20,9,53,4,13,2,2,8,5,6,2
"237",3,8,36,14,15,11,1,5,5,1,4,71,9,8,7,4,2,6,1,2249,11,2,14,1,6,26,32,7,12,8,34,3,200,2,3,82,1988,3,9,19,4,42,2,12,1,2,7,1,1,6
"238",2,7,34,8,8,5,5,5,6,6,5,67,18,6,5,1,6,1,4,2298,2,3,12,2,9,33,32,1,9,5,22,4,208,2,2,93,1964,2,5,16,18,31,5,3,3,1,2,5,8,1
"239",5,7,39,8,18,3,5,7,3,2,11,69,16,8,3,1,2,8,2,2269,8,2,8,3,2,20,38,4,8,2,19,2,211,3,4,81,1974,4,3,6,8,57,1,14,5,4,10,9,3,1
"240",1,4,29,15,3,3,1,2,6,4,7,71,10,5,12,3,10,3,3,2316,0,3,18,1,1,13,32,4,8,4,16,6,199,3,7,105,1961,0,2,12,2,46,0,10,8,4,9,12,4,2
"241",3,5,23,11,3,8,7,4,2,2,4,80,9,2,5,6,3,2,6,2252,6,0,17,0,10,45,29,6,22,5,16,9,217,3,0,88,1972,1,4,16,9,47,3,2,9,2,6,5,13,1
"242",0,5,32,8,8,1,6,5,2,9,4,68,15,7,10,3,13,3,0,2279,2,7,10,4,5,34,26,9,24,22,15,1,185,4,4,89,1938,4,4,25,11,46,4,14,6,2,12,6,8,1
"243",5,0,25,10,16,9,10,3,6,0,10,86,13,5,8,4,10,4,2,2299,3,3,10,3,5,28,20,8,8,5,16,3,193,2,4,99,1948,6,1,17,7,42,3,9,5,3,14,5,3,2
"244",1,6,30,3,6,2,3,7,5,2,12,81,16,3,6,2,1,3,0,2260,4,4,9,4,4,30,25,5,3,9,16,5,214,3,3,96,1983,5,8,14,13,50,0,13,2,3,9,7,6,4
"245",2,6,30,9,6,1,7,6,2,10,3,69,5,4,1,2,3,0,3,2293,6,8,12,4,5,29,32,3,4,4,29,3,228,3,6,120,1926,1,4,20,7,47,1,6,1,3,4,12,5,5
"246",2,5,25,7,8,2,1,8,2,2,12,66,14,5,1,4,4,3,1,2300,4,1,9,6,4,43,21,4,6,2,24,4,198,15,10,104,1953,2,7,21,3,46,2,6,4,4,11,7,3,4
"247",1,2,29,2,9,3,9,8,4,0,15,56,15,6,6,1,1,3,3,2237,6,1,12,2,6,32,39,4,6,1,22,5,220,5,8,92,1998,2,11,14,10,45,3,7,4,6,6,11,8,4
"248",0,5,32,10,5,5,2,6,6,0,13,68,14,8,7,2,7,4,1,2265,4,8,17,7,3,29,24,6,7,6,21,12,185,3,7,74,2020,2,4,18,13,28,4,14,6,2,5,6,4,1
"249",3,5,36,4,5,1,5,7,3,13,4,75,6,1,8,2,4,7,1,2256,2,4,5,2,5,27,36,4,11,1,24,4,167,1,3,104,2035,5,3,21,5,43,4,10,0,1,8,12,5,2
"250",3,5,33,6,9,1,10,7,5,7,7,102,16,14,10,5,4,3,0,2235,1,6,12,0,1,41,39,4,6,3,14,5,227,0,1,118,1940,1,4,9,4,47,3,3,5,2,12,5,4,1
"251",0,8,37,8,10,4,7,1,1,1,6,84,18,1,5,2,8,1,0,2307,5,10,4,1,4,23,31,5,15,0,37,5,202,4,5,91,1924,2,8,14,2,55,1,9,4,1,14,11,4,0
"252",1,2,45,19,10,4,7,5,5,1,7,69,11,6,1,1,2,4,0,2257,4,4,14,1,5,23,34,6,16,13,23,2,195,1,2,109,1969,4,4,21,9,44,7,8,1,2,10,7,3,2
"253",2,5,21,18,9,4,4,4,5,1,13,81,16,3,13,2,8,3,4,2304,7,2,15,4,3,30,38,5,9,2,23,7,177,8,1,110,1905,5,2,18,15,51,4,6,11,3,13,0,6,0
"254",2,3,32,7,3,6,3,11,4,2,7,68,9,5,5,4,7,6,4,2291,4,8,13,4,3,26,27,5,11,2,16,4,174,0,2,85,2001,1,9,21,15,41,7,7,3,1,13,7,7,4
"255",6,3,30,19,5,3,6,5,3,2,2,72,10,1,8,1,7,4,1,2322,1,12,6,0,9,29,35,6,9,9,18,3,185,6,4,107,1934,2,4,23,8,37,2,7,6,1,16,8,2,1
"256",4,6,21,11,8,0,5,8,3,5,6,65,16,19,8,5,10,7,1,2213,2,3,13,3,1,22,41,2,10,3,25,4,217,5,4,78,2033,0,8,17,14,41,4,11,1,0,6,6,2,3
"257",2,5,29,11,8,0,4,4,9,1,9,78,13,4,5,2,5,6,1,2301,0,3,8,3,3,25,22,2,14,7,26,5,219,2,0,84,1968,1,4,12,4,50,2,7,4,5,8,5,8,2
"258",2,7,38,10,4,6,3,8,8,3,7,89,15,2,8,5,6,4,0,2262,4,6,7,0,5,28,40,4,9,9,9,5,221,1,8,89,1904,7,2,23,9,40,13,23,6,12,13,7,2,7
"259",4,1,28,7,4,7,9,2,8,6,6,71,10,4,4,3,10,3,1,2233,0,4,12,1,5,30,37,5,12,9,17,3,223,5,4,111,1957,4,4,28,13,40,11,13,14,1,8,7,0,1
"260",4,2,18,11,9,6,7,2,4,1,7,91,16,9,4,1,5,2,3,2318,8,3,11,2,6,36,38,5,11,5,23,3,174,4,3,89,1937,4,2,15,13,45,2,6,2,2,5,11,7,8
"261",1,11,32,22,10,0,4,4,4,2,6,80,15,4,7,5,13,4,2,2336,3,7,6,1,2,22,43,6,13,6,27,2,189,2,4,83,1919,3,2,11,5,36,1,5,1,3,6,19,9,2
